sec,rms,F1,F2,F3,F4,f0,c
0.78,-25.749900817871094,592.824,2199.208,3410.064,4425.299,144.578,0.513
0.79,-28.254283905029297,580.09,2385.346,3339.472,4358.994,95.238,0.53
0.8,-31.52695083618164,607.186,2505.143,3342.107,4353.164,400.0,0.488
0.81,-33.787620544433594,693.278,2161.183,3300.277,4200.1,184.615,0.551
0.82,-33.12984085083008,633.491,1634.247,3109.422,4277.531,142.857,0.486
0.83,-32.803932189941406,621.815,1439.851,3123.002,4278.253,307.692,0.466
0.84,-34.55166244506836,626.116,1534.246,3244.312,4312.591,105.263,0.424
0.85,-37.04292678833008,585.464,1444.308,3231.767,4324.348,200.0,0.494
0.86,-37.859405517578125,623.085,1377.244,3108.112,4234.49,200.0,0.431
0.87,-38.1782341003418,594.853,1557.803,3044.923,4171.456,184.615,0.426
0.88,-38.211769104003906,634.353,2415.528,3357.227,4249.103,184.615,0.534
0.89,-39.0573616027832,634.242,2227.321,3271.545,4388.669,184.615,0.501
0.9,-39.17195129394531,594.517,2101.612,3145.395,4337.095,203.39,0.41
0.91,-41.0283203125,648.503,2170.227,3100.315,4285.073,82.192,0.452
0.92,-43.917762756347656,790.25,2057.935,3405.078,4226.092,210.526,0.505
0.93,-42.94298553466797,711.241,2077.619,3421.73,4240.132,100.0,0.477
0.94,-43.229896545410156,589.802,1577.933,3177.229,4307.947,136.364,0.502
0.95,-46.06210708618164,694.839,1357.579,3100.009,4279.093,190.476,0.447
0.96,-45.4112434387207,656.722,1314.713,3241.624,4221.472,260.87,0.46
0.97,-45.135498046875,623.647,1405.76,3180.644,4301.288,148.148,0.431
0.98,-46.49750518798828,651.649,2021.33,3143.708,4403.495,193.548,0.484
0.99,-46.078163146972656,569.056,2300.996,3206.003,4508.443,110.092,0.454
1.0,-27.382305145263672,590.278,2429.229,3320.634,4625.217,307.692,0.571
1.01,-21.395282745361328,534.508,1875.84,2785.719,4349.821,122.449,0.557
1.02,-19.44196319580078,488.557,1973.5,2876.089,4291.207,117.647,0.627
1.03,-18.480886459350586,481.015,2133.871,2993.685,4244.144,118.812,0.562
1.04,-18.276700973510742,485.236,2105.126,3067.989,4253.886,123.711,0.621
1.05,-19.378273010253906,493.879,2152.666,3307.085,4385.309,244.898,0.673
1.06,-20.307418823242188,477.907,2157.408,3270.904,4343.293,240.0,0.67
1.07,-19.770265579223633,256.88,2157.776,3192.82,4413.186,235.294,0.722
1.08,-18.812942504882812,435.067,2161.656,3123.501,4413.167,230.769,0.613
1.09,-17.474842071533203,475.49,2150.49,3075.38,4227.381,260.87,0.616
1.1,-15.595783233642578,516.068,2057.019,3154.247,4298.981,272.727,0.862
1.11,-14.37945556640625,686.778,1654.91,2895.463,4365.204,285.714,0.881
1.12,-13.83241081237793,665.38,1358.152,2850.681,4312.387,285.714,0.846
